資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180413,00642U,6,181,4872000,5.64
20180413,00642U,7,76,2768001,3.20
20180413,00642U,8,70,3315810,3.84
20180413,00642U,9,97,7642000,8.85
20180413,00642U,10,41,6286000,7.28
20180413,00642U,11,14,3962078,4.58
20180413,00642U,12,4,2068000,2.39
20180413,00642U,13,1,700000,0.81
20180413,00642U,14,0,0,0.00
20180413,00642U,15,8,31510405,36.50
20180413,00642U,16,0,0,0.00
20180413,00642U,17,5727,86321000,100.00
20180413,00643,1,72,26045,0.00
20180413,00643,2,4236,12121282,4.33
20180413,00643,3,1833,16256311,5.81
20180413,00643,4,584,8008769,2.86
20180413,00643,5,608,11675600,4.17
20180413,00643,6,569,15207015,5.44
20180413,00643,7,221,8151000,2.91
20180413,00643,8,284,13830000,4.95
20180413,00643,9,379,29127000,10.42
20180413,00643,10,177,24896215,8.91
20180413,00643,11,69,18589000,6.65
20180413,00643,12,24,12039000,4.30
20180413,00643,13,12,8306763,2.97
20180413,00643,14,7,6371000,2.28
20180413,00643,15,25,94785000,33.92
20180413,00643,16,0,0,0.00
20180413,00643,17,9100,279390000,100.00
20180413,00643K,1,0,0,0.00
20180413,00643K,2,2,3000,0.96
20180413,00643K,3,0,0,0.00
20180413,00643K,4,0,0,0.00
20180413,00643K,5,1,18000,5.80
20180413,00643K,6,0,0,0.00
20180413,00643K,7,0,0,0.00
20180413,00643K,8,0,0,0.00
20180413,00643K,9,1,98000,31.61
20180413,00643K,10,1,191000,61.61
20180413,00643K,11,0,0,0.00
20180413,00643K,12,0,0,0.00
20180413,00643K,13,0,0,0.00
20180413,00643K,14,0,0,0.00
20180413,00643K,15,0,0,0.00
20180413,00643K,16,0,0,0.00
20180413,00643K,17,5,310000,100.00
20180413,00645,1,1193,395997,1.49
20180413,00645,2,376,758670,2.86
20180413,00645,3,51,409333,1.54
20180413,00645,4,7,91000,0.34
20180413,00645,5,5,96000,0.36
20180413,00645,6,8,198000,0.74
20180413,00645,7,3,111000,0.41
20180413,00645,8,4,191000,0.72
20180413,00645,9,4,290000,1.09
20180413,00645,10,1,105000,0.39
20180413,00645,11,3,858000,3.23
20180413,00645,12,1,511000,1.92
20180413,00645,13,2,1359000,5.12
20180413,00645,14,0,0,0.00
20180413,00645,15,4,21123000,79.71
20180413,00645,16,0,0,0.00
20180413,00645,17,1662,26497000,100.00
20180413,00646,1,41,6375,0.00
20180413,00646,2,1248,2601729,0.97
20180413,00646,3,169,1374193,0.51
20180413,00646,4,47,602000,0.22
20180413,00646,5,25,473000,0.17
20180413,00646,6,22,545703,0.20
20180413,00646,7,8,300000,0.11
20180413,00646,8,8,377000,0.14
20180413,00646,9,11,839000,0.31
20180413,00646,10,6,937000,0.35
20180413,00646,11,4,1092000,0.41
20180413,00646,12,3,1427000,0.53
20180413,00646,13,0,0,0.00
20180413,00646,14,2,1811000,0.68
20180413,00646,15,7,253599000,95.34
20180413,00646,16,0,0,0.00
20180413,00646,17,1601,265985000,100.00
20180413,00647L,1,11,1000,0.02
20180413,00647L,2,176,405000,10.34
20180413,00647L,3,32,268000,6.84
20180413,00647L,4,12,154000,3.93
